id	ndex	species	type1	type2	ability1	ability2	abilityH	hp	attack	defense	spattack	spdefense	speed	total	weight	height	dex1	dex2	class	percent-male	percent-female	pre-evolution	egg-group1	egg-group2
1	1	Bulbasaur	Grass	Poison	Overgrow		Chlorophyll	45	49	49	65	65	45	318	15.2	28			Seed Pokemon	0.875	0.125		Monster	Grass
2	2	Ivysaur	Grass	Poison	Overgrow		Chlorophyll	60	62	63	80	80	60	405	28.7	39			Seed Pokemon	0.875	0.125	Bulbasaur	Monster	Grass
3	3	Venusaur	Grass	Poison	Overgrow		Chlorophyll	80	82	83	100	100	80	525	220.5	79			Seed Pokemon	0.875	0.125	Ivysaur	Monster	Grass
4	4	Charmander	Fire		Blaze		Solar Power	39	52	43	60	50	65	309	18.7	24			Lizard Pokemon	0.875	0.125		Monster	Dragon
5	5	Charmeleon	Fire		Blaze		Solar Power	58	64	58	80	65	80	405	41.9	43			Flame Pokemon	0.875	0.125	Charmander	Monster	Dragon
6	6	Charizard	Fire	Flying	Blaze		Solar Power	78	84	78	109	85	100	534	199.5	67			Flame Pokemon	0.875	0.125	Charmeleon	Monster	Dragon
7	7	Squirtle	Water		Torrent		Rain Dish	44	48	65	50	64	43	314	19.8	20			Tiny Turtle Pokemon	0.875	0.125		Monster	Water 1
8	8	Wartortle	Water		Torrent		Rain Dish	59	63	80	65	80	58	405	49.6	39			Turtle Pokemon	0.875	0.125	Squirtle	Monster	Water 1
9	9	Blastoise	Water		Torrent		Rain Dish	79	83	100	85	105	78	530	188.5	63			Shellfish Pokemon	0.875	0.125	Wartortle	Monster	Water 1
10	10	Caterpie	Bug		Shield Dust		Run Away	45	30	35	20	20	45	195	6.4	12	'When attacked by bird Pokemon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.'	'It's easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokemon Trainers.'	Worm Pokemon	0.5	0.5		Bug	
11	11	Metapod	Bug		Shed Skin			50	20	55	25	25	30	205	21.8	28	Its shell is filled with its soft innards. It doesn't move much because of the risk it might carelessly spill its innards out.	'Its shell is hard, but it's still just a bug shell. It's been known to break, so intense battles with it should be avoided.'	Cocoon Pokemon	0.5	0.5	Caterpie	Bug	
12	12	Butterfree	Bug	Flying	Compound Eyes		Tinted Lens	60	45	50	90	80	70	395	70.5	43	Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.	'When attacked by other Pokemon, it defends itself by scattering its poisonous scales and fluttering its wings.'	Butterfly Pokemon	0.5	0.5	Metapod	Bug	
13	13	Weedle	Bug	Poison	Shield Dust		Run Away	40	35	30	20	20	50	195	7.1	12			Hairy Bug Pokemon	0.5	0.5		Bug	
14	14	Kakuna	Bug	Poison	Shed Skin	Shed Skin		45	25	50	25	25	35	205	22	24			Cocoon Pokemon	0.5	0.5	Weedle	Bug	
15	15	Beedrill	Bug	Poison	Swarm	Swarm	Sniper	65	90	40	45	80	75	395	65	39			Poison Bee Pokemon	0.5	0.5	Kakuna	Bug	
16	16	Pidgey	Normal	Flying	Keen Eye	Tangled Feet	Big Pecks	40	45	40	35	35	56	251	4	12			Tiny Bird Pokemon	0.5	0.5		Flying	
17	17	Pidgeotto	Normal	Flying	Keen Eye	Tangled Feet	Big Pecks	63	60	55	50	50	71	349	66.1	43			Bird Pokemon	0.5	0.5	Pidgey	Flying	
18	18	Pidgeot	Normal	Flying	Keen Eye	Tangled Feet	Big Pecks	83	80	75	70	70	101	479	87.1	59			Bird Pokemon	0.5	0.5	Pidgeotto	Flying	
19	19	Rattata	Normal		Run Away	Guts	Hustle	30	56	35	25	35	72	253	7.7	12	'Its incisors continue growing until its death. If its Trainer doesn't offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on.'	'With their strong capacity for survival, they can live in dirty places without concern. Left unchecked, their numbers multiply rapidly.'	Mouse Pokemon	0.5	0.5		Field	
