id,ndex,name,type1,type2,ability1,ability2,spec_ability,hp,attack,defense,spattack,spdefense,speed,weight,height,dex1,dex2,class,pre-evolution,egg-group1,egg-group2
1,1,Bulbasaur,Grass,Poison,Overgrow,,Chlorophyll,45,49,49,65,65,45,15.2,28,,,Seed Pokemon,,Monster,Grass
2,2,Ivysaur,Grass,Poison,Overgrow,,Chlorophyll,60,62,63,80,80,60,28.7,39,,,Seed Pokemon,Bulbasaur,Monster,Grass
3,3,Venusaur,Grass,Poison,Overgrow,,Chlorophyll,80,82,83,100,100,80,220.5,79,,,Seed Pokemon,Ivysaur,Monster,Grass
4,4,Charmander,Fire,,Blaze,,Solar Power,39,52,43,60,50,65,18.7,24,,,Lizard Pokemon,,Monster,Dragon
5,5,Charmeleon,Fire,,Blaze,,Solar Power,58,64,58,80,65,80,41.9,43,,,Flame Pokemon,Charmander,Monster,Dragon
6,6,Charizard,Fire,Flying,Blaze,,Solar Power,78,84,78,109,85,100,199.5,67,,,Flame Pokemon,Charmeleon,Monster,Dragon
7,7,Squirtle,Water,,Torrent,,Rain Dish,44,48,65,50,64,43,19.8,20,,,Tiny Turtle Pokemon,,Monster,Water 1
8,8,Wartortle,Water,,Torrent,,Rain Dish,59,63,80,65,80,58,49.6,39,,,Turtle Pokemon,Squirtle,Monster,Water 1
9,9,Blastoise,Water,,Torrent,,Rain Dish,79,83,100,85,105,78,188.5,63,,,Shellfish Pokemon,Wartortle,Monster,Water 1
10,10,Caterpie,Bug,,Shield Dust,,Run Away,45,30,35,20,20,45,6.4,12,"When attacked by bird Pokemon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey.","It's easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokemon Trainers.",Worm Pokemon,,Bug,
11,11,Metapod,Bug,,Shed Skin,,,50,20,55,25,25,30,21.8,28,Its shell is filled with its soft innards. It doesn't move much because of the risk it might carelessly spill its innards out.,"Its shell is hard, but it's still just a bug shell. It's been known to break, so intense battles with it should be avoided.",Cocoon Pokemon,Caterpie,Bug,
12,12,Butterfree,Bug,Flying,Compound Eyes,,Tinted Lens,60,45,50,90,80,70,70.5,43,Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.,"When attacked by other Pokemon, it defends itself by scattering its poisonous scales and fluttering its wings.",Butterfly Pokemon,Metapod,Bug,
13,13,Weedle,Bug,Poison,Shield Dust,,Run Away,40,35,30,20,20,50,7.1,12,,,Hairy Bug Pokemon,,Bug,
14,14,Kakuna,Bug,Poison,Shed Skin,Shed Skin,,45,25,50,25,25,35,22,24,,,Cocoon Pokemon,Weedle,Bug,
15,15,Beedrill,Bug,Poison,Swarm,Swarm,Sniper,65,90,40,45,80,75,65,39,,,Poison Bee Pokemon,Kakuna,Bug,
16,16,Pidgey,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,40,45,40,35,35,56,4,12,,,Tiny Bird Pokemon,,Flying,
17,17,Pidgeotto,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,63,60,55,50,50,71,66.1,43,,,Bird Pokemon,Pidgey,Flying,
18,18,Pidgeot,Normal,Flying,Keen Eye,Tangled Feet,Big Pecks,83,80,75,70,70,101,87.1,59,,,Bird Pokemon,Pidgeotto,Flying,
19,19,Rattata,Normal,,Run Away,Guts,Hustle,30,56,35,25,35,72,7.7,12,"Its incisors continue growing until its death. If its Trainer doesn't offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on.","With their strong capacity for survival, they can live in dirty places without concern. Left unchecked, their numbers multiply rapidly.",Mouse Pokemon,,Field,
20,20,Raticate,Normal,,Run Away,Guts,Hustle,55,81,60,50,70,97,40.8,28,"Its hind feet are webbed, so it's a strong swimmer. It can cross rivers and sometimes even oceans.","Its disposition is far more violent than its looks would suggest. Don't let your hand get too close to its face, as it could bite your hand clean off.",Mouse Pokemon,Rattata,Field,
21,21,Spearow,Normal,Flying,Keen Eye,Keen Eye,Sniper,40,60,30,31,31,70,4.4,12,Its short wings make it inept at flying. It moves about hurriedly and pecks at Bug-type Pokemon in the tall grass.,Farmers whose fields are troubled by bug Pokemon appreciate Spearow for its vigorous appetite and look after it.,Tiny Bird Pokemon,,Flying,
22,22,Fearow,Normal,Flying,Keen Eye,Keen Eye,Sniper,65,90,65,61,61,100,83.8,47,It's tough and has excellent stamina. It has no problem flying continuously for a whole day carrying a heavy load.,Drawings of a Pokemon resembling Fearow can be seen in murals from deep in ancient history.,Beak Pokemon,Spearow,Flying,
23,23,Ekans,Poison,,Intimidate,Shed Skin,Unnerve,35,60,44,40,54,55,15.2,79,,,Snake Pokemon,,Field,Dragon
24,24,Arbok,Poison,,Intimidate,Shed Skin,Unnerve,60,95,69,65,79,80,143.3,138,,,Cobra Pokemon,Ekans,Field,Dragon
25,25,Pikachu,Electric,,Static,Static,Lightning Rod,35,55,40,50,50,90,13.2,16,A plan was recently announced to gather many Pikachu and make an electric power plant.,It's in its nature to store electricity. It feels stressed now and then if it's unable to fully discharge the electricity.,Mouse Pokemon,Pichu,Field,Fairy
26,26,Raichu,Electric,,Static,Static,Lightning Rod,60,90,55,90,80,110,66.1,31,"It unleashes electric shocks that can reach 100,000 volts. When agitated, it can knock out even an Indian elephant.","It becomes aggressive when it has electricity stored up. At such times, even its Trainer has to take care to avoid being attacked.",Mouse Pokemon,Pikachu,Field,Fairy
27,27,Sandshrew,Ground,,Sand Veil,,Sand Rush,50,75,85,20,30,40,26.5,24,It can roll its body into a ball. It moves through the desert by rolling at high speeds.,"It usually makes its home in deserts and arid zones, where rain does not fall. It digs holes to catch Bug-type Pokemon.",Mouse Pokemon,,Field,
28,28,Sandslash,Ground,,Sand Veil,,Sand Rush,75,100,110,45,55,65,65,39,"Although they are sharp, its claws and spikes often break off. They grow back the next day, so it is not bothered by the temporary loss.","It uses its claws to climb trees and then curls its body into a spiny ball, ready to drop onto any prey that appears.",Mouse Pokemon,Sandshrew,Field,
29,29,Nidoran (female),Poison,,Poison Point,Rivalry,Hustle,55,47,52,40,40,41,15.4,16,,,Poison Pin Pokemon,,Monster,Field
30,30,Nidorina,Poison,,Poison Point,Rivalry,Hustle,70,62,67,55,55,56,44.1,31,,,Poison Pin Pokemon,Nidoran (female),Undiscovered,
31,31,Nidoqueen,Poison,Ground,Poison Point,Rivalry,Sheer Force,90,92,87,75,85,76,132.3,51,,,Drill Pokemon,Nidorina,Undiscovered,
32,32,Nidoran (male),Poison,,Poison Point,Rivalry,Hustle,46,57,40,40,40,50,19.8,20,,,Poison Pin Pokemon,,Monster,Field
33,33,Nidorino,Poison,,Poison Point,Rivalry,Hustle,61,72,57,55,55,65,43,35,,,Poison Pin Pokemon,Nidoran (male),Monster,Field
34,34,Nidoking,Poison,Ground,Poison Point,Rivalry,Sheer Force,81,102,77,85,75,85,136.7,55,,,Drill Pokemon,Nidorino,Monster,Field
35,35,Clefairy,Fairy,,Cute Charm,Magic Guard,Friend Guard,70,45,48,60,65,35,16.5,24,"Its adorable behavior and appearance make it popular with men and women, young and old. Its numbers are few, however.","On nights with a full moon, they gather together and dance. The surrounding area is enveloped in an abnormal magnetic field.",Fairy Pokemon,Cleffa,Fairy,
36,36,Clefable,Fairy,,Cute Charm,Magic Guard,Unaware,95,70,73,95,90,60,88.2,51,They don't like to reveal themselves in front of people. They live quietly in packs deep in the mountains.,"According to tradition, people who see a pair of Clefable skipping by can look forward to a happy marriage.",Fairy Pokemon,Clefairy,Fairy,
37,37,Vulpix,Fire,,Flash Fire,,Drought,38,41,40,50,65,65,21.8,24,"Its beautiful fur and tails have made it very popular. As it grows, its tails split to form more tails.",From its mouth spew flames that seem to resemble the spirits of the deceased. Some people mistakenly think this fire is a ghost.,Fox Pokemon,,Field,
38,38,Ninetales,Fire,,Flash Fire,,Drought,73,76,75,81,100,100,43.9,43,Legend has it that this mystical Pokemon was formed when nine saints coalesced into one.,"Said to live for a thousand years, this Pokemon uses its supernatural abilities to manipulate fire. It can burn its prey to a crisp as it pleases.",Fox Pokemon,Vulpix,Field,
39,39,Jigglypuff,Normal,Fairy,Cute Charm,Competitive,Friend Guard,115,45,20,45,25,20,12.1,20,"It hugely inflates its stomach and sings a mysterious melody. If you hear this melody, you'll become sleepy right away.","Jigglypuff possess a vocal range that exceeds 12 octaves, but each individual's singing skill depends on its own effort.",Balloon Pokemon,Igglybuff,Fairy,
40,40,Wigglytuff,Normal,Fairy,Cute Charm,Competitive,Frisk,140,70,45,85,50,45,26.5,39,It sheds its fine fur when the seasons change. The fur is gathered and spun into a luxurious yarn.,"As it inhales, it expands...and expands...and expands. Wigglytuff compete to see which one can inflate itself the most.",Balloon Pokemon,Jigglypuff,Fairy,
41,41,Zubat,Poison,Flying,Inner Focus,,Infiltrator,40,45,35,30,40,55,16.5,31,"It sleeps in caves during the day. It has no eyes, so to check its surroundings while flying, it emits ultrasonic waves.","When exposed to sunlight, they suffer burns. The frequency of their ultrasonic waves can differ slightly from colony to colony.",Bat Pokemon,,Flying,
42,42,Golbat,Poison,Flying,Inner Focus,,Infiltrator,75,80,70,65,75,90,121.3,63,"Its thick fangs are hollow like straws, making them unexpectedly fragile. These fangs are specialized for sucking blood.","Sometimes they drink so much blood, they can't fly anymore. Then they fall to the ground and become food for other Pokemon.",Bat Pokemon,Zubat,Flying,
43,43,Oddish,Grass,Poison,Chlorophyll,,Run Away,45,50,55,75,65,30,11.9,20,,,Weed Pokemon,,Grass,
44,44,Gloom,Grass,Poison,Chlorophyll,,Stench,60,65,70,85,75,40,19,31,,,Weed Pokemon,Oddish,Grass,
45,45,Vileplume,Grass,Poison,Chlorophyll,,Effect Spore,75,80,85,110,90,50,41,47,,,Flower Pokemon,Gloom,Grass,
46,46,Paras,Bug,Grass,Effect Spore,Dry Skin,Damp,35,70,55,45,55,25,11.9,12,"No matter how much it eats, the mushrooms growing on its back steal away most of the nutrients it consumes.",Mushrooms called tochukaso sprout from its back. They can be dried and powdered to make a medicine used to extend life.,Mushroom Pokemon,,Bug,Grass
47,47,Parasect,Bug,Grass,Effect Spore,Dry Skin,Damp,60,95,80,60,80,30,65,39,The large mushroom on its back controls it. It often fights over territory with Shiinotic.,"It scatters toxic spores from its mushroom cap. Once harvested, these spores can be steeped and boiled down to prepare herbal medicines.",Mushroom Pokemon,Paras,Bug,Grass
48,48,Venonat,Bug,Poison,Compound Eyes,Tinted Lens,Run Away,60,55,50,40,55,45,66.1,39,,,Insect Pokemon,,Bug,
49,49,Venomoth,Bug,Poison,Shield Dust,Tinted Lens,Wonder Skin,70,65,60,90,75,90,27.6,59,,,Poison Moth Pokemon,Venonat,Bug,
50,50,Diglett,Ground,,Sand Veil,Arena Trap,Sand Force,10,55,25,35,45,95,1.8,8,It chews on plant roots underground. Farmers whose vegetables are vulnerable find it can be quite a pest.,Many farmers cherish and nurture Diglett because its droppings enrich the soil it lives in.,Mole Pokemon,,Field,
51,51,Dugtrio,Ground,,Sand Veil,Arena Trap,Sand Force,35,100,50,50,70,120,73.4,28,This set of triplets moves cooperatively. It's the power of teamwork that enables this Pokemon to dig to a depth of 60 miles.,"Despite the closeness between this Pokemon and farmers and other people, no one has ever seen the parts of it concealed underground.",Mole Pokemon,Diglett,Field,
52,52,Meowth,Normal,,Pickup,Technician,Unnerve,40,45,35,40,40,90,9.3,16,"It lies around all day, becoming active near dusk. At night, it wanders the city in search of loose change.",It loves shiny things. It often fights with Murkrow over prey they're both trying to catch.,Scratch Cat Pokemon,,Field,
53,53,Persian,Normal,,Limber,Technician,Unnerve,65,70,60,65,65,115,70.5,39,It has a violent temperament. It will attack anything that looks it in the eye. Its sharp claws inflict deep wounds.,"It has a high opinion of itself, although not to the same extent as the Alolan Persian. It's quite difficult to make friends with this Pokemon.",Classy Cat Pokemon,Meowth,Field,
54,54,Psyduck,Water,,Damp,Cloud Nine,Swift Swim,50,52,48,65,50,55,43.2,31,"As a result of headaches so fierce they cause it to cry, it sometimes uses psychokinesis without meaning to.","This Pokemon is troubled by constant headaches. The more pain it's in, the more powerful its psychokinesis becomes.",Duck Pokemon,,Water 1,Field
55,55,Golduck,Water,,Damp,Cloud Nine,Swift Swim,80,82,78,95,80,85,168.9,67,"It is said that the red part of its forehead grants supernatural powers to those who possess one, so it was over-hunted in the past.",It swims along the banks of lakes and catches fish Pokemon. It takes them to the shore and quietly eats them up.,Duck Pokemon,Psyduck,Water 1,Field
56,56,Mankey,Fighting,,Vital Spirit,Anger Point,Defiant,40,80,35,35,45,70,61.7,20,"It can spontaneously become enraged. Everyone near it clears out as it rampages, and the resulting loneliness makes it angrier still.","Its raging tires it out and causes it to fall asleep, but the anger resonating in its dreams causes it to wake up—which infuriates it all over again.",Pig Monkey Pokemon,,Field,
57,57,Primeape,Fighting,,Vital Spirit,Anger Point,Defiant,65,105,60,60,70,95,70.5,39,"It has been known to become so angry that it dies as a result. Its face looks peaceful in death, however.",Some researchers theorize that Primeape remains angry even when inside a Poke Ball.,Pig Monkey Pokemon,Mankey,Field,
58,58,Growlithe,Fire,,Intimidate,Flash Fire,Justified,55,70,45,70,50,60,41.9,28,"It's both clever and loyal, but if a stranger tries to invade its territory, it barks threateningly.","It looks cute, but when you approach another Trainer's Growlithe, it will bark at you and bite.",Puppy Pokemon,,Field,
59,59,Arcanine,Fire,,Intimidate,Flash Fire,Justified,90,110,80,100,80,95,341.7,75,"Overflowing with beauty and majesty, this strong Pokemon appears in ancient Eastern folklore.",The fire burning inside its body serves as the energy to fuel it as it runs great distances. It appears in many legends.,Legendary Pokemon,Growlithe,Field,
60,60,Poliwag,Water,,Water Absorb,Damp,Swift Swim,40,50,40,40,40,90,27.3,24,"The swirl on its belly is its internal organs showing through. If the swirl is tinged white, that means it's affected by some disease.",It's still not very good at walking. Its Trainers should train this Pokemon to walk every day.,Tadpole Pokemon,,Water 1,
61,61,Poliwhirl,Water,,Water Absorb,Damp,Swift Swim,65,65,65,50,50,90,44.1,39,"Although it can live on land, it prefers to stay in the water, where it has fewer natural enemies.",It marches over the land in search of bug Pokemon to eat. Then it takes them underwater so it can dine on them where it's safe.,Tadpole Pokemon,Poliwag,Water 1,
62,62,Poliwrath,Water,Fighting,Water Absorb,Damp,Swift Swim,90,95,95,70,90,70,119,51,Poliwrath in the Alola region are strong swimmers that use the breaststroke. Many children learn to swim by imitating Poliwrath.,"Its percentage of body fat is nearly zero. Its body is entirely muscle, which makes it heavy and forces its swimming prowess to develop.",Tadpole Pokemon,Poliwhirl,Water 1,
63,63,Abra,Psychic,,Synchronize,Inner Focus,Magic Guard,25,20,15,105,55,90,43,35,"It sleeps 18 hours a day. Even while sleeping, it will teleport itself to treetops and pick and eat berries there.","It can teleport itself to safety while it's asleep, but when it wakes, it doesn't know where it is, so it panics.",Psi Pokemon,,Human-Like,
64,64,Kadabra,Psychic,,Synchronize,Inner Focus,Magic Guard,40,35,30,120,70,105,124.6,51,A theory exists that this Pokemon was a young boy who couldn't control his psychic powers and ended up transformed into this Pokemon.,Kadabra's presence infests televisions and monitors with creepy shadows that bring bad luck.,Psi Pokemon,Abra,Human-Like,
